,Lineup Spot,Player,Position,Year
3614,,Gary Gaetti,3B,1989: Game 1
3615,,Kelly Gruber,3B,1989: Game 1
3616,,Tony Fernandez,SS,1989: Game 1
3617,,Mike Greenwell,LF,1989: Game 1
3618,,Jeffrey Leonard,LF,1989: Game 1
3619,,Devon White,CF,1989: Game 1
3620,,Jose Canseco,RF,1989: Game 1
3621,,Chuck Finley,P,1989: Game 1
3622,,Mark Gubicza,P,1989: Game 1
3623,,Mike Henneman,P,1989: Game 1
3624,,Doug Jones,P,1989: Game 1
3625,,Mike Moore,P,1989: Game 1
3626,,Dan Plesac,P,1989: Game 1
3627,,Jeff Russell,P,1989: Game 1
3628,,Nolan Ryan,P,1989: Game 1
3629,,Greg Swindell,P,1989: Game 1
3630,1,Rickey Henderson,LF,1990: Game 1
3631,2,Wade Boggs,3B,1990: Game 1
3632,3,Jose Canseco,RF,1990: Game 1
3633,4,Cal Ripken Jr.,SS,1990: Game 1
3634,5,Ken Griffey Jr.,CF,1990: Game 1
3635,6,Mark McGwire,1B,1990: Game 1
3636,7,Sandy Alomar,C,1990: Game 1
3637,8,Steve Sax,2B,1990: Game 1
3638,9,Bob Welch,P,1990: Game 1
3639,,Manager,,1990: Game 1
3640,,Tony La Russa,,1990: Game 1
3641,,Reserves,,1990: Game 1
3642,,Lance Parrish,C,1990: Game 1
3643,,Cecil Fielder,1B,1990: Game 1
3644,,Dave Parker,1B,1990: Game 1
3645,,Julio Franco,2B,1990: Game 1
3646,,Kelly Gruber,3B,1990: Game 1
3647,,Brook Jacoby,3B,1990: Game 1
3648,,Ozzie Guillen,SS,1990: Game 1
3649,,Alan Trammell,SS,1990: Game 1
3650,,George Bell,LF,1990: Game 1
3651,,Ellis Burks,CF,1990: Game 1
3652,,Kirby Puckett,CF,1990: Game 1
3653,,Roger Clemens,P,1990: Game 1
3654,,Dennis Eckersley,P,1990: Game 1
3655,,Chuck Finley,P,1990: Game 1
3656,,Randy Johnson,P,1990: Game 1
3657,,Doug Jones,P,1990: Game 1
3658,,Gregg Olson,P,1990: Game 1
3659,,Bret Saberhagen,P,1990: Game 1
3660,,Dave Stieb,P,1990: Game 1
3661,,Bobby Thigpen,P,1990: Game 1
3662,1,Lenny Dykstra,CF,1990: Game 1
3663,2,Ryne Sandberg,2B,1990: Game 1
3664,3,Will Clark,1B,1990: Game 1
3665,4,Kevin Mitchell,LF,1990: Game 1
3666,5,Andre Dawson,RF,1990: Game 1
3667,6,Chris Sabo,3B,1990: Game 1
3668,7,Mike Scioscia,C,1990: Game 1
3669,8,Ozzie Smith,SS,1990: Game 1
3670,9,Jack Armstrong,P,1990: Game 1
3671,,Manager,,1990: Game 1
3672,,Roger Craig,,1990: Game 1
3673,,Reserves,,1990: Game 1
3674,,Greg Olson,C,1990: Game 1
3675,,Benito Santiago,C,1990: Game 1
3676,,Roberto Alomar,2B,1990: Game 1
3677,,Tim Wallach,3B,1990: Game 1
3678,,Matt Williams,3B,1990: Game 1
3679,,Shawon Dunston,SS,1990: Game 1
3680,,Barry Larkin,SS,1990: Game 1
3681,,Barry Bonds,LF,1990: Game 1
3682,,Bobby Bonilla,RF,1990: Game 1
3683,,Tony Gwynn,RF,1990: Game 1
3684,,Darryl Strawberry,RF,1990: Game 1
3685,,Jeff Brantley,P,1990: Game 1
3686,,Rob Dibble,P,1990: Game 1
3687,,John Franco,P,1990: Game 1
3688,,Neal Heaton,P,1990: Game 1
3689,,Dennis Martinez,P,1990: Game 1
3690,,Ramon Martinez,P,1990: Game 1
3691,,Randy Myers,P,1990: Game 1
3692,,Dave Smith,P,1990: Game 1
3693,,Frank Viola,P,1990: Game 1
3694,1,Tony Gwynn,CF,1991: Game 1
3695,2,Ryne Sandberg,2B,1991: Game 1
3696,3,Will Clark,1B,1991: Game 1
3697,4,Bobby Bonilla,DH,1991: Game 1
3698,5,Andre Dawson,RF,1991: Game 1
3699,6,Ivan Calderon,LF,1991: Game 1
3700,7,Chris Sabo,3B,1991: Game 1
3701,8,Benito Santiago,C,1991: Game 1
3702,9,Ozzie Smith,SS,1991: Game 1
3703,,Tom Glavine,P,1991: Game 1
3704,,Manager,,1991: Game 1
3705,,Lou Piniella,,1991: Game 1
3706,,Reserves,,1991: Game 1
3707,,Craig Biggio,C,1991: Game 1
3708,,Eddie Murray,1B,1991: Game 1
3709,,Juan Samuel,2B,1991: Game 1
3710,,Howard Johnson,3B,1991: Game 1
3711,,Barry Larkin,SS,1991: Game 1
3712,,George Bell,LF,1991: Game 1
3713,,John Kruk,LF,1991: Game 1
3714,,Brett Butler,CF,1991: Game 1
3715,,Felix Jose,RF,1991: Game 1
3716,,Paul O'Neill,RF,1991: Game 1
3717,,Darryl Strawberry,RF,1991: Game 1
3718,,Tom Browning,P,1991: Game 1
3719,,Rob Dibble,P,1991: Game 1
3720,,Pete Harnisch,P,1991: Game 1
3721,,Dennis Martinez,P,1991: Game 1
3722,,Mike Morgan,P,1991: Game 1
3723,,John Smiley,P,1991: Game 1
3724,,Lee Smith,P,1991: Game 1
3725,,Frank Viola,P,1991: Game 1
3726,1,Rickey Henderson,LF,1991: Game 1
3727,2,Wade Boggs,3B,1991: Game 1
3728,3,Cal Ripken Jr.,SS,1991: Game 1
3729,4,Cecil Fielder,1B,1991: Game 1
3730,5,Danny Tartabull,DH,1991: Game 1
3731,6,Dave Henderson,RF,1991: Game 1
3732,7,Ken Griffey Jr.,CF,1991: Game 1
3733,8,Sandy Alomar,C,1991: Game 1
3734,9,Roberto Alomar,2B,1991: Game 1
3735,,Jack Morris,P,1991: Game 1
3736,,Manager,,1991: Game 1
3737,,Tony La Russa,,1991: Game 1
3738,,Reserves,,1991: Game 1
3739,,Carlton Fisk,C,1991: Game 1
3740,,Mark McGwire,1B,1991: Game 1
3741,,Paul Molitor,1B,1991: Game 1
3742,,Rafael Palmeiro,1B,1991: Game 1
3743,,Julio Franco,2B,1991: Game 1
3744,,Ozzie Guillen,SS,1991: Game 1
3745,,Joe Carter,LF,1991: Game 1
3746,,Kirby Puckett,CF,1991: Game 1
3747,,Harold Baines,RF,1991: Game 1
3748,,Ruben Sierra,RF,1991: Game 1
3749,,Rick Aguilera,P,1991: Game 1
3750,,Roger Clemens,P,1991: Game 1
3751,,Dennis Eckersley,P,1991: Game 1
3752,,Bryan Harvey,P,1991: Game 1
3753,,Jimmy Key,P,1991: Game 1
3754,,Mark Langston,P,1991: Game 1
3755,,Jack McDowell,P,1991: Game 1
3756,,Jeff Reardon,P,1991: Game 1
3757,,Scott Sanderson,P,1991: Game 1
3758,1,Roberto Alomar,2B,1992: Game 1
3759,2,Wade Boggs,3B,1992: Game 1
3760,3,Kirby Puckett,LF,1992: Game 1
3761,4,Joe Carter,RF,1992: Game 1
3762,5,Mark McGwire,1B,1992: Game 1
3763,6,Cal Ripken Jr.,SS,1992: Game 1
3764,7,Ken Griffey Jr.,CF,1992: Game 1
3765,8,Sandy Alomar,C,1992: Game 1
3766,9,Kevin Brown,P,1992: Game 1
3767,,Manager,,1992: Game 1
3768,,Tom Kelly,,1992: Game 1
3769,,Reserves,,1992: Game 1
3770,,Ivan Rodriguez,C,1992: Game 1
3771,,Paul Molitor,1B,1992: Game 1
3772,,Carlos Baerga,2B,1992: Game 1
3773,,Chuck Knoblauch,2B,1992: Game 1
3774,,Edgar Martinez,3B,1992: Game 1
3775,,Robin Ventura,3B,1992: Game 1
3776,,Travis Fryman,SS,1992: Game 1
3777,,Brady Anderson,LF,1992: Game 1
3778,,Roberto Kelly,CF,1992: Game 1
3779,,Jose Canseco,RF,1992: Game 1
3780,,Ruben Sierra,RF,1992: Game 1
3781,,Rick Aguilera,P,1992: Game 1
3782,,Roger Clemens,P,1992: Game 1
3783,,Dennis Eckersley,P,1992: Game 1
3784,,Juan Guzman,P,1992: Game 1
3785,,Mark Langston,P,1992: Game 1
3786,,Jack McDowell,P,1992: Game 1
3787,,Jeff Montgomery,P,1992: Game 1
3788,,Mike Mussina,P,1992: Game 1
3789,,Charles Nagy,P,1992: Game 1
3790,1,Ozzie Smith,SS,1992: Game 1
3791,2,Tony Gwynn,RF,1992: Game 1
3792,3,Barry Bonds,LF,1992: Game 1
3793,4,Fred McGriff,1B,1992: Game 1
3794,5,Terry Pendleton,3B,1992: Game 1
3795,6,Andy Van Slyke,CF,1992: Game 1
3796,7,Ryne Sandberg,2B,1992: Game 1
3797,8,Benito Santiago,C,1992: Game 1
3798,9,Tom Glavine,P,1992: Game 1
3799,,Manager,,1992: Game 1
3800,,Bobby Cox,,1992: Game 1
3801,,Reserves,,1992: Game 1
3802,,Darren Daulton,C,1992: Game 1
3803,,Tom Pagnozzi,C,1992: Game 1
3804,,Will Clark,1B,1992: Game 1
3805,,John Kruk,1B,1992: Game 1
3806,,Craig Biggio,2B,1992: Game 1
3807,,Mike Sharperson,2B,1992: Game 1
3808,,Gary Sheffield,3B,1992: Game 1
3809,,Tony Fernandez,SS,1992: Game 1
3810,,Ron Gant,LF,1992: Game 1
3811,,Bip Roberts,LF,1992: Game 1
3812,,Larry Walker,RF,1992: Game 1
3813,,Norm Charlton,P,1992: Game 1
3814,,David Cone,P,1992: Game 1
3815,,Doug Jones,P,1992: Game 1
3816,,Greg Maddux,P,1992: Game 1
3817,,Dennis Martinez,P,1992: Game 1
3818,,Lee Smith,P,1992: Game 1
3819,,John Smoltz,P,1992: Game 1
3820,,Bob Tewksbury,P,1992: Game 1
3821,1,Marquis Grissom,CF,1993: Game 1
3822,2,Barry Bonds,LF,1993: Game 1
3823,3,Gary Sheffield,3B,1993: Game 1
3824,4,John Kruk,1B,1993: Game 1
3825,5,Barry Larkin,SS,1993: Game 1
3826,6,Mark Grace,DH,1993: Game 1
3827,7,David Justice,RF,1993: Game 1
3828,8,Darren Daulton,C,1993: Game 1
3829,9,Ryne Sandberg,2B,1993: Game 1
3830,,Terry Mulholland,P,1993: Game 1
3831,,Manager,,1993: Game 1
3832,,Bobby Cox,,1993: Game 1
3833,,Reserves,,1993: Game 1
3834,,Mike Piazza,C,1993: Game 1
3835,,Andres Galarraga,1B,1993: Game 1
3836,,Gregg Jefferies,1B,1993: Game 1
3837,,Robby Thompson,2B,1993: Game 1
3838,,Dave Hollins,3B,1993: Game 1
3839,,Jay Bell,SS,1993: Game 1
3840,,Jeff Blauser,SS,1993: Game 1
3841,,Roberto Kelly,CF,1993: Game 1
3842,,Andy Van Slyke,CF,1993: Game 1
3843,,Bobby Bonilla,RF,1993: Game 1
3844,,Tony Gwynn,RF,1993: Game 1
3845,,Steve Avery,P,1993: Game 1
3846,,Rod Beck,P,1993: Game 1
3847,,Andy Benes,P,1993: Game 1
3848,,John Burkett,P,1993: Game 1
3849,,Tom Glavine,P,1993: Game 1
3850,,Bryan Harvey,P,1993: Game 1
3851,,Darryl Kile,P,1993: Game 1
3852,,Lee Smith,P,1993: Game 1
3853,,John Smoltz,P,1993: Game 1
3854,1,Roberto Alomar,2B,1993: Game 1
3855,2,Paul Molitor,DH,1993: Game 1
3856,3,Ken Griffey Jr.,CF,1993: Game 1
3857,4,Joe Carter,RF,1993: Game 1
3858,5,John Olerud,1B,1993: Game 1
3859,6,Kirby Puckett,LF,1993: Game 1
3860,7,Cal Ripken Jr.,SS,1993: Game 1
3861,8,Wade Boggs,3B,1993: Game 1
3862,9,Ivan Rodriguez,C,1993: Game 1
3863,,Mark Langston,P,1993: Game 1
3864,,Manager,,1993: Game 1
3865,,Cito Gaston,,1993: Game 1
3866,,Reserves,,1993: Game 1
3867,,Terry Steinbach,C,1993: Game 1
3868,,Cecil Fielder,1B,1993: Game 1
3869,,Frank Thomas,1B,1993: Game 1
3870,,Carlos Baerga,2B,1993: Game 1
3871,,Scott Cooper,3B,1993: Game 1
3872,,Travis Fryman,SS,1993: Game 1
3873,,Albert Belle,LF,1993: Game 1
3874,,Juan Gonzalez,LF,1993: Game 1
3875,,Greg Vaughn,LF,1993: Game 1
3876,,Devon White,CF,1993: Game 1
3877,,Rick Aguilera,P,1993: Game 1
3878,,Pat Hentgen,P,1993: Game 1
3879,,Randy Johnson,P,1993: Game 1
3880,,Jimmy Key,P,1993: Game 1
3881,,Jack McDowell,P,1993: Game 1
3882,,Jeff Montgomery,P,1993: Game 1
3883,,Mike Mussina,P,1993: Game 1
3884,,Duane Ward,P,1993: Game 1
3885,1,Roberto Alomar,2B,1994: Game 1
3886,2,Wade Boggs,3B,1994: Game 1
3887,3,Ken Griffey Jr.,CF,1994: Game 1
3888,4,Frank Thomas,1B,1994: Game 1
3889,5,Joe Carter,LF,1994: Game 1
3890,6,Kirby Puckett,RF,1994: Game 1
3891,7,Cal Ripken Jr.,SS,1994: Game 1
3892,8,Ivan Rodriguez,C,1994: Game 1
3893,9,Jimmy Key,P,1994: Game 1
3894,,Manager,,1994: Game 1
3895,,Cito Gaston,,1994: Game 1
3896,,Reserves,,1994: Game 1
3897,,Mickey Tettleton,C,1994: Game 1
3898,,Will Clark,1B,1994: Game 1
3899,,Paul Molitor,1B,1994: Game 1
3900,,Chuck Knoblauch,2B,1994: Game 1
3901,,Scott Cooper,3B,1994: Game 1
3902,,Travis Fryman,3B,1994: Game 1
3903,,Albert Belle,LF,1994: Game 1
3904,,Chili Davis,LF,1994: Game 1
3905,,Kenny Lofton,CF,1994: Game 1
3906,,Paul O'Neill,RF,1994: Game 1
3907,,Ruben Sierra,RF,1994: Game 1
3908,,Wilson Alvarez,P,1994: Game 1
3909,,Jason Bere,P,1994: Game 1
3910,,Ricky Bones,P,1994: Game 1
3911,,David Cone,P,1994: Game 1
3912,,Pat Hentgen,P,1994: Game 1
3913,,Randy Johnson,P,1994: Game 1
3914,,Mike Mussina,P,1994: Game 1
3915,,Lee Smith,P,1994: Game 1
3916,1,Gregg Jefferies,1B,1994: Game 1
3917,2,Tony Gwynn,CF,1994: Game 1
3918,3,Barry Bonds,LF,1994: Game 1
3919,4,Mike Piazza,C,1994: Game 1
3920,5,Matt Williams,3B,1994: Game 1
3921,6,David Justice,RF,1994: Game 1
3922,7,Mariano Duncan,2B,1994: Game 1
3923,8,Ozzie Smith,SS,1994: Game 1
3924,9,Greg Maddux,P,1994: Game 1
3925,,Manager,,1994: Game 1
3926,,Jim Fregosi,,1994: Game 1
3927,,Reserves,,1994: Game 1
3928,,Darrin Fletcher,C,1994: Game 1
3929,,Jeff Bagwell,1B,1994: Game 1
3930,,Fred McGriff,1B,1994: Game 1
3931,,Craig Biggio,2B,1994: Game 1
3932,,Carlos Garcia,2B,1994: Game 1
3933,,Ken Caminiti,3B,1994: Game 1
3934,,Wil Cordero,SS,1994: Game 1
3935,,Barry Larkin,SS,1994: Game 1
3936,,Moises Alou,LF,1994: Game 1
3937,,Jeff Conine,LF,1994: Game 1
3938,,Lenny Dykstra,CF,1994: Game 1
3939,,Marquis Grissom,CF,1994: Game 1
3940,,Dante Bichette,RF,1994: Game 1
3941,,Rod Beck,P,1994: Game 1
3942,,Doug Drabek,P,1994: Game 1
3943,,Ken Hill,P,1994: Game 1
3944,,John Hudek,P,1994: Game 1
3945,,Danny Jackson,P,1994: Game 1
3946,,Doug Jones,P,1994: Game 1
3947,,Randy Myers,P,1994: Game 1
3948,,Jose Rijo,P,1994: Game 1
3949,,Bret Saberhagen,P,1994: Game 1
3950,1,Lenny Dykstra,CF,1995: Game 1
3951,2,Tony Gwynn,RF,1995: Game 1
3952,3,Barry Bonds,LF,1995: Game 1
3953,4,Mike Piazza,C,1995: Game 1
3954,5,Fred McGriff,1B,1995: Game 1
3955,6,Ron Gant,DH,1995: Game 1
3956,7,Barry Larkin,SS,1995: Game 1
3957,8,Vinny Castilla,3B,1995: Game 1
3958,9,Craig Biggio,2B,1995: Game 1
3959,,Hideo Nomo,P,1995: Game 1
3960,,Manager,,1995: Game 1
3961,,Felipe Alou,,1995: Game 1
3962,,Reserves,,1995: Game 1
3963,,Darren Daulton,C,1995: Game 1
3964,,Mark Grace,1B,1995: Game 1
3965,,Mickey Morandini,2B,1995: Game 1
3966,,Bobby Bonilla,3B,1995: Game 1
3967,,Matt Williams,3B,1995: Game 1
3968,,Jose Offerman,SS,1995: Game 1
3969,,Ozzie Smith,SS,1995: Game 1
3970,,Dante Bichette,LF,1995: Game 1
3971,,Jeff Conine,LF,1995: Game 1
3972,,Raul Mondesí,RF,1995: Game 1
3973,,Reggie Sanders,RF,1995: Game 1
3974,,Sammy Sosa,RF,1995: Game 1
3975,,Tyler Green,P,1995: Game 1
3976,,Tom Henke,P,1995: Game 1
3977,,Greg Maddux,P,1995: Game 1
3978,,Randy Myers,P,1995: Game 1
3979,,Denny Neagle,P,1995: Game 1
3980,,Carlos Perez,P,1995: Game 1
3981,,Heathcliff Slocumb,P,1995: Game 1
3982,,John Smiley,P,1995: Game 1
3983,,Todd Worrell,P,1995: Game 1
3984,1,Kenny Lofton,CF,1995: Game 1
3985,2,Carlos Baerga,2B,1995: Game 1
3986,3,Edgar Martinez,DH,1995: Game 1
3987,4,Frank Thomas,1B,1995: Game 1
3988,5,Albert Belle,LF,1995: Game 1
3989,6,Cal Ripken Jr.,SS,1995: Game 1
3990,7,Wade Boggs,3B,1995: Game 1
3991,8,Kirby Puckett,RF,1995: Game 1
3992,9,Ivan Rodriguez,C,1995: Game 1
3993,,Randy Johnson,P,1995: Game 1
3994,,Manager,,1995: Game 1
3995,,Buck Showalter,,1995: Game 1
3996,,Reserves,,1995: Game 1
3997,,Mike Stanley,C,1995: Game 1
3998,,Tino Martinez,1B,1995: Game 1
3999,,Mark McGwire,1B,1995: Game 1
4000,,Mo Vaughn,1B,1995: Game 1
4001,,Roberto Alomar,2B,1995: Game 1
4002,,Kevin Seitzer,3B,1995: Game 1
4003,,Gary Disarcina,SS,1995: Game 1
4004,,Jim Edmonds,CF,1995: Game 1
4005,,Ken Griffey Jr.,CF,1995: Game 1
4006,,Paul O'Neill,RF,1995: Game 1
4007,,Manny Ramirez,RF,1995: Game 1
4008,,Kevin Appier,P,1995: Game 1
4009,,Chuck Finley,P,1995: Game 1
4010,,Erik Hanson,P,1995: Game 1
4011,,Dennis Martinez,P,1995: Game 1
4012,,Jose Mesa,P,1995: Game 1
4013,,Steve Ontiveros,P,1995: Game 1
4014,,Kenny Rogers,P,1995: Game 1
4015,,Lee Smith,P,1995: Game 1
4016,,David Wells,P,1995: Game 1
4017,1,Kenny Lofton,CF,1996: Game 1
4018,2,Wade Boggs,3B,1996: Game 1
4019,3,Roberto Alomar,2B,1996: Game 1
4020,4,Albert Belle,LF,1996: Game 1
4021,5,Mo Vaughn,1B,1996: Game 1
4022,6,Ivan Rodriguez,C,1996: Game 1
4023,7,Cal Ripken Jr.,SS,1996: Game 1
4024,8,Brady Anderson,RF,1996: Game 1
4025,9,Charles Nagy,P,1996: Game 1
4026,,Manager,,1996: Game 1
4027,,Mike Hargrove,,1996: Game 1
4028,,Reserves,,1996: Game 1
4029,,Sandy Alomar,C,1996: Game 1
4030,,Dan Wilson,C,1996: Game 1
4031,,Edgar Martinez,1B,1996: Game 1
4032,,Mark McGwire,1B,1996: Game 1
4033,,Frank Thomas,1B,1996: Game 1
4034,,Chuck Knoblauch,2B,1996: Game 1
4035,,Travis Fryman,3B,1996: Game 1
4036,,Alex Rodriguez,SS,1996: Game 1
4037,,Joe Carter,LF,1996: Game 1
4038,,Greg Vaughn,LF,1996: Game 1
4039,,Ken Griffey Jr.,CF,1996: Game 1
4040,,Jay Buhner,RF,1996: Game 1
4041,,Chuck Finley,P,1996: Game 1
4042,,Roberto Hernandez,P,1996: Game 1
4043,,Jose Mesa,P,1996: Game 1
4044,,Jeff Montgomery,P,1996: Game 1
4045,,Roger Pavlik,P,1996: Game 1
4046,,Troy Percival,P,1996: Game 1
4047,,Andy Pettitte,P,1996: Game 1
4048,,John Wetteland,P,1996: Game 1
4049,1,Lance Johnson,CF,1996: Game 1
4050,2,Barry Larkin,SS,1996: Game 1
4051,3,Barry Bonds,LF,1996: Game 1
4052,4,Fred McGriff,1B,1996: Game 1
4053,5,Mike Piazza,C,1996: Game 1
4054,6,Dante Bichette,RF,1996: Game 1
4055,7,Chipper Jones,3B,1996: Game 1
4056,8,Craig Biggio,2B,1996: Game 1
4057,9,John Smoltz,P,1996: Game 1
4058,,Manager,,1996: Game 1
4059,,Bobby Cox,,1996: Game 1
4060,,Reserves,,1996: Game 1
4061,,Todd Hundley,C,1996: Game 1
4062,,Jason Kendall,C,1996: Game 1
4063,,Jeff Bagwell,1B,1996: Game 1
4064,,Eric Young Sr.,2B,1996: Game 1
4065,,Ken Caminiti,3B,1996: Game 1
4066,,Matt Williams,3B,1996: Game 1
4067,,Mark Grudzielanek,SS,1996: Game 1
4068,,Ozzie Smith,SS,1996: Game 1
4069,,Ellis Burks,LF,1996: Game 1
4070,,Henry Rodriguez,LF,1996: Game 1
4071,,Tony Gwynn,RF,1996: Game 1
4072,,Gary Sheffield,RF,1996: Game 1
4073,,Ricky Bottalico,P,1996: Game 1
4074,,Kevin Brown,P,1996: Game 1
4075,,Tom Glavine,P,1996: Game 1
4076,,Al Leiter,P,1996: Game 1
4077,,Greg Maddux,P,1996: Game 1
4078,,Pedro Martinez,P,1996: Game 1
4079,,Steve Trachsel,P,1996: Game 1
4080,,Mark Wohlers,P,1996: Game 1
4081,,Todd Worrell,P,1996: Game 1
4082,1,Craig Biggio,2B,1997: Game 1
4083,2,Tony Gwynn,DH,1997: Game 1
4084,3,Barry Bonds,LF,1997: Game 1
4085,4,Mike Piazza,C,1997: Game 1
4086,5,Jeff Bagwell,1B,1997: Game 1
4087,6,Larry Walker,RF,1997: Game 1
4088,7,Ken Caminiti,3B,1997: Game 1
4089,8,Ray Lankford,CF,1997: Game 1
4090,9,Jeff Blauser,SS,1997: Game 1
4091,,Greg Maddux,P,1997: Game 1
4092,,Manager,,1997: Game 1
4093,,Bobby Cox,,1997: Game 1
4094,,Reserves,,1997: Game 1
4095,,Todd Hundley,C,1997: Game 1
4096,,Charles Johnson,C,1997: Game 1
4097,,Javy Lopez,C,1997: Game 1
4098,,Andres Galarraga,1B,1997: Game 1
4099,,Mark Grace,1B,1997: Game 1
4100,,Tony Womack,2B,1997: Game 1
4101,,Chipper Jones,3B,1997: Game 1
4102,,Royce Clayton,SS,1997: Game 1
4103,,Barry Larkin,SS,1997: Game 1
4104,,Moises Alou,CF,1997: Game 1
4105,,Steve Finley,CF,1997: Game 1
4106,,Kenny Lofton,CF,1997: Game 1
4107,,Rod Beck,P,1997: Game 1
4108,,Kevin Brown,P,1997: Game 1
4109,,Shawn Estes,P,1997: Game 1
4110,,Tom Glavine,P,1997: Game 1
4111,,Bobby Jones,P,1997: Game 1
4112,,Darryl Kile,P,1997: Game 1
4113,,Pedro Martinez,P,1997: Game 1
4114,,Denny Neagle,P,1997: Game 1
4115,,Curt Schilling,P,1997: Game 1
4116,1,Brady Anderson,LF,1997: Game 1
4117,2,Alex Rodriguez,SS,1997: Game 1
4118,3,Ken Griffey Jr.,CF,1997: Game 1
4119,4,Tino Martinez,1B,1997: Game 1
4120,5,Edgar Martinez,DH,1997: Game 1
4121,6,Paul O'Neill,RF,1997: Game 1
4122,7,Cal Ripken Jr.,3B,1997: Game 1
4123,8,Ivan Rodriguez,C,1997: Game 1
4124,9,Roberto Alomar,2B,1997: Game 1
4125,,Randy Johnson,P,1997: Game 1
4126,,Manager,,1997: Game 1
4127,,Joe Torre,,1997: Game 1
4128,,Reserves,,1997: Game 1
4129,,Sandy Alomar,C,1997: Game 1
4130,,Mark McGwire,1B,1997: Game 1
4131,,Frank Thomas,1B,1997: Game 1
4132,,Jim Thome,1B,1997: Game 1
4133,,Joey Cora,2B,1997: Game 1
4134,,Chuck Knoblauch,2B,1997: Game 1
4135,,Jeff Cirillo,3B,1997: Game 1
4136,,Nomar Garciaparra,SS,1997: Game 1
4137,,Albert Belle,LF,1997: Game 1
4138,,David Justice,LF,1997: Game 1
4139,,Bernie Williams,CF,1997: Game 1
4140,,Roger Clemens,P,1997: Game 1
4141,,David Cone,P,1997: Game 1
4142,,Jason Dickson,P,1997: Game 1
4143,,Pat Hentgen,P,1997: Game 1
4144,,Jimmy Key,P,1997: Game 1
4145,,Mike Mussina,P,1997: Game 1
4146,,Randy Myers,P,1997: Game 1
4147,,Mariano Rivera,P,1997: Game 1
4148,,Jose Rosado,P,1997: Game 1
4149,,Justin Thompson,P,1997: Game 1
4150,1,Kenny Lofton,LF,1998: Game 1
4151,2,Roberto Alomar,2B,1998: Game 1
4152,3,Ken Griffey Jr.,CF,1998: Game 1
4153,4,Juan Gonzalez,RF,1998: Game 1
4154,5,Jim Thome,1B,1998: Game 1
4155,6,Alex Rodriguez,SS,1998: Game 1
4156,7,Ivan Rodriguez,C,1998: Game 1
4157,8,Cal Ripken Jr.,3B,1998: Game 1
4158,9,David Wells,P,1998: Game 1
4159,,Manager,,1998: Game 1
4160,,Mike Hargrove,,1998: Game 1
4161,,Reserves,,1998: Game 1
4162,,Sandy Alomar,C,1998: Game 1
4163,,Rafael Palmeiro,1B,1998: Game 1
4164,,Mo Vaughn,1B,1998: Game 1
4165,,Ray Durham,2B,1998: Game 1
4166,,Damion Easley,2B,1998: Game 1
4167,,Scott Brosius,3B,1998: Game 1
4168,,Dean Palmer,3B,1998: Game 1
4169,,Derek Jeter,SS,1998: Game 1
4170,,Omar Vizquel,SS,1998: Game 1
4171,,Darin Erstad,LF,1998: Game 1
4172,,Bernie Williams,CF,1998: Game 1
4173,,Ben Grieve,RF,1998: Game 1
4174,,Paul O'Neill,RF,1998: Game 1
4175,,Manny Ramirez,RF,1998: Game 1
4176,,Rolando Arrojo,P,1998: Game 1
4177,,Roger Clemens,P,1998: Game 1
4178,,Bartolo Colon,P,1998: Game 1
4179,,Tom Gordon,P,1998: Game 1
4180,,Pedro Martinez,P,1998: Game 1
4181,,Troy Percival,P,1998: Game 1
4182,,Brad Radke,P,1998: Game 1
4183,,Aaron Sele,P,1998: Game 1
4184,,John Wetteland,P,1998: Game 1
4185,1,Craig Biggio,2B,1998: Game 1
4186,2,Tony Gwynn,RF,1998: Game 1
4187,3,Mark McGwire,1B,1998: Game 1
4188,4,Barry Bonds,LF,1998: Game 1
4189,5,Chipper Jones,3B,1998: Game 1
4190,6,Mike Piazza,C,1998: Game 1
4191,7,Larry Walker,CF,1998: Game 1
4192,8,Walt Weiss,SS,1998: Game 1
4193,9,Greg Maddux,P,1998: Game 1
4194,,Manager,,1998: Game 1
4195,,Jim Leyland,,1998: Game 1
4196,,Reserves,,1998: Game 1
4197,,Jason Kendall,C,1998: Game 1
4198,,Javy Lopez,C,1998: Game 1
4199,,Andres Galarraga,1B,1998: Game 1
4200,,Bret Boone,2B,1998: Game 1
4201,,Fernando Vina,2B,1998: Game 1
4202,,Vinny Castilla,3B,1998: Game 1
4203,,Edgar Renteria,SS,1998: Game 1
4204,,Moises Alou,LF,1998: Game 1
4205,,Dante Bichette,LF,1998: Game 1
4206,,Greg Vaughn,LF,1998: Game 1
4207,,Devon White,CF,1998: Game 1
4208,,Gary Sheffield,RF,1998: Game 1
4209,,Sammy Sosa,RF,1998: Game 1
4210,,Andy Ashby,P,1998: Game 1
4211,,Kevin Brown,P,1998: Game 1
4212,,Tom Glavine,P,1998: Game 1
4213,,Trevor Hoffman,P,1998: Game 1
4214,,Robb Nen,P,1998: Game 1
4215,,Rick Reed,P,1998: Game 1
4216,,Curt Schilling,P,1998: Game 1
4217,,Jeff Shaw,P,1998: Game 1
4218,,Ugueth Urbina,P,1998: Game 1
4219,1,Barry Larkin,SS,1999: Game 1
4220,2,Larry Walker,RF,1999: Game 1
4221,3,Sammy Sosa,CF,1999: Game 1
4222,4,Mark McGwire,1B,1999: Game 1
4223,5,Matt Williams,3B,1999: Game 1
