,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,Games,GS
20,T.J. McConnell,PHI,22:30,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,0.0,5.0,0.0,7.0,-8.0,11/15/17,1,5.099999999999998
21,Amir Johnson,PHI,9:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,-10.0,11/15/17,1,-1.7000000000000002
22,Justin Anderson,PHI,7:44,1.0,4.0,0.25,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,-8.0,11/15/17,1,2.2000000000000006
23,Richaun Holmes,PHI,4:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,11/15/17,1,0.6
27,Donovan Mitchell,UTA,34:45,6.0,17.0,0.353,1.0,6.0,0.167,4.0,5.0,0.8,0.0,7.0,7.0,3.0,2.0,1.0,3.0,4.0,17.0,-11.0,12/27/17,1,9.399999999999999
28,Thabo Sefolosha,UTA,32:49,4.0,12.0,0.333,1.0,2.0,0.5,2.0,2.0,1.0,3.0,5.0,8.0,1.0,2.0,1.0,2.0,3.0,11.0,-14.0,12/27/17,1,8.0
29,Ricky Rubio,UTA,25:31,5.0,13.0,0.385,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,-9.0,12/27/17,1,5.5
30,Derrick Favors,UTA,25:30,7.0,11.0,0.636,0.0,0.0,0.0,3.0,4.0,0.75,5.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,17.0,-6.0,12/27/17,1,15.800000000000002
31,Joe Ingles,UTA,24:03,1.0,4.0,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0,0.0,4.0,2.0,3.0,-24.0,12/27/17,1,1.8999999999999995
32,Rodney Hood,UTA,29:16,9.0,20.0,0.45,2.0,5.0,0.4,6.0,8.0,0.75,2.0,3.0,5.0,0.0,3.0,0.0,1.0,1.0,26.0,-22.0,12/27/17,1,18.7
33,Ekpe Udoh,UTA,22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-19.0,12/27/17,1,1.6
34,Alec Burks,UTA,20:04,3.0,8.0,0.375,1.0,3.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,10.0,-17.0,12/27/17,1,5.699999999999998
